Date,Open,High,Low,Close,Volume
2015-01-02,24.648441478964468,24.659506182275138,23.75446781268404,24.192604064941406,212818400
2015-01-05,23.96247328303275,24.042134423807454,23.32518584507189,23.51106071472168,257142000
2015-01-06,23.57523726415586,23.77217687928269,23.15259047306622,23.51327896118164,263188400
2015-01-07,23.72127445249682,23.94255500406204,23.610634176714214,23.842979431152344,160423600
2015-01-08,24.17047177100101,24.816610479641703,24.053191678114224,24.759077072143555,237458000
2015-01-09,24.931681198896364,25.060024333551862,24.387331204040734,24.78563690185547,214798000
2015-01-12,24.91619938795971,24.922837536951587,24.075333980322085,24.174909591674805,198603200
2015-01-13,24.65729280767819,24.960447781897706,24.09966654067397,24.389543533325195,268367600
2015-01-14,24.12843047207833,24.44928658228224,24.00893877695945,24.29660415649414,195826400
2015-01-15,24.340862128726783,24.354138422379428,23.601785852626346,23.637189865112305,240056000
2015-01-16,23.68365752291758,23.805362503417978,23.27871370223808,23.45352554321289,314053200
2015-01-20,23.862894935009866,24.11294304990514,23.56637979303794,24.0576229095459,199599600
2015-01-21,24.10851943514098,24.57542161180635,23.958048567472943,24.241289138793945,194303600
2015-01-22,24.39839463484841,24.88742446217416,24.278902931738003,24.87193489074707,215185600
2015-01-23,24.849807624202118,25.170663761693863,24.679420647171945,25.00027847290039,185859200
2015-01-26,25.168453931002503,25.305648505097142,24.960451323601063,25.02683448791504,222460000
2015-01-27,24.876362316261897,24.8896402990191,24.1262212875984,24.150562286376953,382274800
2015-01-28,26.02923041081558,26.13765909552136,25.515859603881836,25.515859603881836,585908400
2015-01-29,25.739352750639867,26.374428518206834,25.571179064885065,26.310256958007812,337745600
2015-01-30,26.199621290376125,26.55366988452238,25.856635712406298,25.925233840942383,334982000
2015-02-02,26.122171630877833,26.370004785647765,25.68624864341562,26.250513076782227,250956400
2015-02-03,26.22173998998051,26.352294678311385,26.024800474481754,26.254932403564453,207662800
2015-02-04,26.22174390407791,26.66651826072673,26.179700061379986,26.456300735473633,280598800
2015-02-05,26.66290499248517,26.70955879365363,26.491847269498656,26.64513397216797,168984800
2015-02-06,26.662902250403082,26.713998377671132,26.314120800918854,26.42075538635254,174826400
2015-02-09,26.336346130625422,26.622923176725912,26.309687051846403,26.59626579284668,155559200
2015-02-10,26.69623153945443,27.136096970685305,26.69401122096662,27.107215881347656,248034000
2015-02-11,27.273826139961198,27.751457234046466,27.213845349029228,27.742570877075195,294247200
2015-02-12,28.004718352510146,28.320178159043575,27.89586342284208,28.09358024597168,297898000
2015-02-13,28.27574380069617,28.27574380069617,27.913633609185215,28.231313705444336,217088800
2015-02-17,28.32239884896467,28.631194314145105,28.19577119996392,28.397932052612305,252609600
2015-02-18,28.353501091632044,28.608978410609364,28.313513322619073,28.59564971923828,179566800
2015-02-19,28.542318410607532,28.664503674867408,28.50899669753569,28.535654067993164,149449600
2015-02-20,28.573428232665083,28.768924713134766,28.446802295850947,28.768924713134766,195793600
2015-02-23,28.88443987343099,29.546457290649414,28.804464364721515,29.546457290649414,283896400
2015-02-24,29.5331371485924,29.679759521946426,29.139923834524474,29.362077713012695,276912400
2015-02-25,29.22656760722152,29.235455661833292,28.469021967049812,28.6112003326416,298846800
2015-02-26,28.61119665484146,29.07327713106697,28.126902824541162,28.973308563232422,365150000
2015-02-27,28.88000304082967,29.00663237357377,28.4890134507584,28.537887573242188,248059200
2015-03-02,28.713382798513294,28.942200974389138,28.502337335981014,28.677837371826172,192386800
2015-03-03,28.648965199633246,28.773370827213807,28.455689023399984,28.737825393676758,151265200
2015-03-04,28.68007119242384,28.7822600929338,28.506791413472467,28.555662155151367,126665200
2015-03-05,28.564547284367382,28.602313038496664,27.93807338891241,28.082473754882812,226068400
2015-03-06,28.524551645020985,28.74004114058892,28.049144258829877,28.124675750732422,291368400
2015-03-09,28.426806439526047,28.784475968478535,27.782559935616113,28.244640350341797,354114000
2015-03-10,28.082474047098263,28.262418155621695,27.502652258634235,27.660381317138672,275426400
2015-03-11,27.713696495390376,27.718138827229005,27.127210388514765,27.156089782714844,275756000
2015-03-12,27.171639795275006,27.747019210467062,27.02057509311064,27.647048950195312,193450800
2015-03-13,27.635939424321684,27.858093275490027,27.231619482991277,27.45599365234375,207309200
2015-03-16,27.520422623715213,27.758127212524414,27.296048420518424,27.758127212524414,143497200
2015-03-17,27.969172096263538,28.284630179522154,27.91363362970817,28.222427368164062,204092400
2015-03-18,28.213545040566977,28.693398273706446,28.073588695017833,28.540111541748047,261083600
2015-03-19,28.60231356527291,28.713390511157467,28.30240615036455,28.324621200561523,183238000
2015-03-20,28.491236645908533,28.524558373785165,27.80478193325487,27.969175338745117,274780400
2015-03-23,28.240199836860707,28.402371208638087,28.106906162375846,28.26019287109375,150838800
2015-03-24,28.26463184776562,28.444574208412945,28.11578749716998,28.144668579101562,131369200
2015-03-25,28.11135075836797,28.17355357044147,27.409343719482422,27.409343719482422,206620800
2015-03-26,27.271606553032868,27.742571620841588,27.236061124194826,27.600393295288086,190291600
2015-03-27,27.673703739702116,27.70258312869527,27.30492924720013,27.380460739135742,158184800
2015-03-30,27.558182976261453,28.080244131848396,27.547074606928014,28.073579788208008,188398800
2015-03-31,28.011379353603317,28.100241236455535,27.62705412549918,27.64260482788086,168362400
2015-04-01,27.729246813025078,27.79589365397358,27.347141874039412,27.602619171142578,162485600
2015-04-02,27.77589957273979,27.89364085892032,27.589291125563008,27.84032440185547,128880400
2015-04-06,27.6514878545613,28.326835710021733,27.620386453544633,28.291290283203125,148776000
