Date,Equity,DailyReturn
2020-08-12,2828180.856421,0.015285
2020-08-13,2876811.468984,0.017195
2020-08-14,2873084.498407,-0.001296
2020-08-15,2896722.498771,0.008227
2020-08-16,2903339.641696,0.002284
2020-08-17,2991615.179622,0.030405
2020-08-18,2927368.863113,-0.021475
2020-08-19,2870499.721653,-0.019427
2020-08-20,2899816.506585,0.010213
2020-08-21,2830025.150183,-0.024068
2020-08-22,2851834.353048,0.007706
2020-08-23,2847689.698569,-0.001453
2020-08-24,2874482.022972,0.009408
2020-08-25,2774766.189704,-0.034690
2020-08-26,2804605.317919,0.010754
2020-08-27,2764332.913086,-0.014359
2020-08-28,2817821.485060,0.019350
2020-08-29,2809122.121127,-0.003087
2020-08-30,2859080.167464,0.017784
2020-08-31,2851589.035277,-0.002620
2020-09-01,2922302.061752,0.024798
2020-09-02,2786459.670152,-0.046485
2020-09-03,2501140.797504,-0.102395
2020-09-04,2566204.363110,0.026014
2020-09-05,2482653.278324,-0.032558
2020-09-06,2509698.549428,0.010894
2020-09-07,2531477.474979,0.008678
2020-09-08,2473364.102761,-0.022956
2020-09-09,2500420.817261,0.010939
2020-09-10,2529909.014707,0.011793
2020-09-11,2539131.198731,0.003645
2020-09-12,2549202.816399,0.003967
2020-09-13,2520294.656015,-0.011340
2020-09-14,2607467.575191,0.034588
2020-09-15,2635813.817219,0.010871
2020-09-16,2679256.995970,0.016482
2020-09-17,2672930.467588,-0.002361
2020-09-18,2671855.265304,-0.000402
2020-09-19,2708415.719014,0.013684
2020-09-20,2670313.744690,-0.014068
2020-09-21,2554107.026195,-0.043518
2020-09-22,2572709.456129,0.007283
2020-09-23,2501357.983597,-0.027734
2020-09-24,2626809.296097,0.050153
2020-09-25,2610367.522105,-0.006259
2020-09-26,2624528.484512,0.005425
2020-09-27,2630520.770411,0.002283
2020-09-28,2614501.925210,-0.006090
2020-09-29,2647456.040795,0.012604
2020-09-30,2632772.019893,-0.005546
2020-10-01,2592481.734757,-0.015303
2020-10-02,2581867.747866,-0.004094
2020-10-03,2575362.893251,-0.002519
2020-10-04,2604719.968468,0.011399
2020-10-05,2634932.199027,0.011599
2020-10-06,2588808.643496,-0.017505
2020-10-07,2604570.012318,0.006088
2020-10-08,2664799.935728,0.023125
2020-10-09,2701119.124536,0.013629
2020-10-10,2757732.696850,0.020959
2020-10-11,2779171.896623,0.007774
2020-10-12,2820961.743260,0.015037
2020-10-13,2789356.279409,-0.011204
2020-10-14,2790236.943984,0.000316
2020-10-15,2806310.860521,0.005761
2020-10-16,2764021.795796,-0.015069
2020-10-17,2772805.077955,0.003178
2020-10-18,2803383.735546,0.011028
2020-10-19,2866533.631810,0.022526
2020-10-20,2909084.225783,0.014844
2020-10-21,3130592.822937,0.076144
2020-10-22,3165308.029269,0.011089
2020-10-23,3156921.689859,-0.002649
2020-10-24,3200015.606671,0.013651
2020-10-25,3181245.101879,-0.005866
2020-10-26,3192004.753647,0.003382
2020-10-27,3333346.411562,0.044280
2020-10-28,3239862.460267,-0.028045
2020-10-29,3280533.238274,0.012553
2020-10-30,3307054.974076,0.008085
2020-10-31,3364295.787456,0.017309
2020-11-01,3353582.147671,-0.003185
2020-11-02,3308023.371344,-0.013585
2020-11-03,3405627.659905,0.029505
2020-11-04,3450401.848490,0.013147
2020-11-05,3803442.253543,0.102319
2020-11-06,3800032.360357,-0.000897
2020-11-07,3621301.317836,-0.047034
2020-11-08,3778961.018039,0.043537
2020-11-09,3743013.024343,-0.009513
2020-11-10,3732903.023623,-0.002701
2020-11-11,3833101.386696,0.026842
2020-11-12,3973474.647344,0.036621
2020-11-13,3983597.283479,0.002548
2020-11-14,3922646.426210,-0.015300
2020-11-15,3895169.882171,-0.007005
2020-11-16,4080833.237777,0.047665
2020-11-17,4307698.058813,0.055593
2020-11-18,4346416.307617,0.008988
2020-11-19,4349610.445134,0.000735
2020-11-20,4545942.382159,0.045138
2020-11-21,4551048.996997,0.001123
2020-11-22,4484590.529270,-0.014603
2020-11-23,4483154.860057,-0.000320
2020-11-24,4664624.211543,0.040478
2020-11-25,4572993.136557,-0.019644
2020-11-26,4186908.737591,-0.084427
2020-11-27,4176601.576717,-0.002462
2020-11-28,4325277.020144,0.035597
2020-11-29,4437592.030861,0.025967
2020-11-30,4791171.944288,0.079678
2020-12-01,4590296.025992,-0.041926
2020-12-02,4687480.961822,0.021172
2020-12-03,4747122.504027,0.012724
2020-12-04,4565094.333438,-0.038345
2020-12-05,4676040.904884,0.024303
2020-12-06,4722642.222140,0.009966
2020-12-07,4685171.303347,-0.007934
2020-12-08,4472663.174445,-0.045358
2020-12-09,4529488.687963,0.012705
2020-12-10,4458954.941337,-0.015572
2020-12-11,4408643.580192,-0.011283
2020-12-12,4590456.710325,0.041240
2020-12-13,4673148.586900,0.018014
2020-12-14,4698601.557328,0.005447
2020-12-15,4740208.309651,0.008855
2020-12-16,5202465.664738,0.097518
2020-12-17,5567327.334812,0.070132
2020-12-18,5648572.098779,0.014593
2020-12-19,5827240.679438,0.031631
2020-12-20,5731412.262676,-0.016445
2020-12-21,5566819.534176,-0.028718
2020-12-22,5806049.896689,0.042974
2020-12-23,5673810.982366,-0.022776
2020-12-24,5794556.437243,0.021281
2020-12-25,6021310.638798,0.039132
2020-12-26,6453961.548028,0.071853
2020-12-27,6413743.737724,-0.006231
2020-12-28,6612099.248360,0.030927
2020-12-29,6679875.613697,0.010250
2020-12-30,7040819.351546,0.054034
2020-12-31,7080066.857350,0.005574
2021-01-01,7170987.011447,0.012842
2021-01-02,7843093.336617,0.093726
2021-01-03,8002936.102743,0.020380
2021-01-04,7805167.542888,-0.024712
2021-01-05,8298427.437974,0.063197
2021-01-06,8989775.354346,0.083311
2021-01-07,9611485.446528,0.069157
2021-01-08,9959747.042317,0.036234
2021-01-09,9827171.501469,-0.013311
2021-01-10,9363795.077753,-0.047153
2021-01-11,8682736.680353,-0.072733
2021-01-12,8281468.327184,-0.046215
2021-01-13,9109884.270399,0.100032
2021-01-14,9566635.922261,0.050138
2021-01-15,8990020.433714,-0.060274
2021-01-16,8832015.762844,-0.017576
2021-01-17,8737572.473636,-0.010693
2021-01-18,8942344.390983,0.023436
2021-01-19,8805568.170703,-0.015295
2021-01-20,8678121.177867,-0.014473
2021-01-21,7525346.982939,-0.132837
2021-01-22,8057556.378761,0.070722
2021-01-23,7828537.338692,-0.028423
2021-01-24,7882668.886399,0.006915
2021-01-25,7901469.906910,0.002385
2021-01-26,7951139.007533,0.006286
2021-01-27,7429368.371623,-0.065622
2021-01-28,8169936.235381,0.099681
2021-01-29,8377513.691636,0.025407
2021-01-30,8366073.157889,-0.001366
2021-01-31,8084067.863189,-0.033708
2021-02-01,8187288.236052,0.012768
2021-02-02,8668975.998353,0.058834
2021-02-03,9147902.088092,0.055246
2021-02-04,9014603.706153,-0.014571
2021-02-05,9312007.995513,0.032991
2021-02-06,9585844.613705,0.029407
2021-02-07,9497331.863746,-0.009234
2021-02-08,11277746.690103,0.187465
2021-02-09,11347234.796549,0.006162
2021-02-10,10965685.319499,-0.033625
2021-02-11,11695901.679230,0.066591
2021-02-12,11597157.580886,-0.008443
2021-02-13,11499669.395099,-0.008406
2021-02-14,11893144.796549,0.034216
2021-02-15,11704623.453143,-0.015851
2021-02-16,12010955.497520,0.026172
2021-02-17,12730915.714845,0.059942
2021-02-18,12616369.242182,-0.008998
2021-02-19,13643732.414895,0.081431
2021-02-20,13695337.356437,0.003782
2021-02-21,14046982.382561,0.025676
2021-02-22,13233402.800439,-0.057918
2021-02-23,11919299.628512,-0.099302
2021-02-24,12134351.528670,0.018042
2021-02-25,11496821.897077,-0.052539
2021-02-26,11312729.147380,-0.016012
2021-02-27,11275790.823244,-0.003265
2021-02-28,11019291.901479,-0.022748
2021-03-01,12116264.289897,0.099550
2021-03-02,11810556.864141,-0.025231
2021-03-03,12337686.346379,0.044632
2021-03-04,11855031.617234,-0.039120
2021-03-05,11944415.018799,0.007540
2021-03-06,11940772.204853,-0.000305
2021-03-07,12500872.014152,0.046906
2021-03-08,12754721.790067,0.020307
2021-03-09,13383978.800984,0.049335
2021-03-10,13673129.541993,0.021604
2021-03-11,14111718.619401,0.032077
2021-03-12,13996239.510079,-0.008183
2021-03-13,14951014.370027,0.068217
2021-03-14,14477222.549996,-0.031690
2021-03-15,13648387.015646,-0.057251
2021-03-16,13867539.465534,0.016057
2021-03-17,14371901.360609,0.036370
2021-03-18,14124852.775547,-0.017190
2021-03-19,14243920.342692,0.008430
2021-03-20,14235862.285664,-0.000566
2021-03-21,14042948.585967,-0.013551
2021-03-22,13311968.379647,-0.052053
2021-03-23,13363186.153005,0.003847
2021-03-24,12883557.248115,-0.035892
2021-03-25,12622316.946523,-0.020277
2021-03-26,13460437.841970,0.066400
2021-03-27,13664575.604533,0.015166
2021-03-28,13659017.929225,-0.000407
2021-03-29,14098310.775401,0.032161
2021-03-30,14383325.682880,0.020216
2021-03-31,14383604.138815,0.000019
2021-04-01,14426808.675108,0.003004
2021-04-02,14497239.907991,0.004882
2021-04-03,14062593.080021,-0.029981
2021-04-04,14344476.311846,0.020045
2021-04-05,14417549.061648,0.005094
2021-04-06,14206253.455766,-0.014655
